Page,Brand,Product Name,Price,Links
1,Try This,Solid Men Round Neck Black T-Shirt,₹235,"https://www.flipkart.com/clothing-and-accessories/topwear/tshirt/men-tshirt/pr?sid=clo,ash,ank,edy&otracker=categorytree&otracker=nmenu_sub_Men_0_T-Shirts/try-solid-men-round-neck-black-t-shirt/p/itmfe39c37739c3f?pid=TSHG9RAMHGD67K6Q&lid=LSTTSHG9RAMHGD67K6QEOLSMT&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_1_1&otracker=browse&iid=en_3Jrd1ueBDyvUZDgPV8mV%2FAn%2BZ%2FfdeoH%2Ft5ejjIDFQo79Sxy0%2FFK0s%2FcUv%2Bf8Hc38Np0kmW7EUcczrghtGukeIg%3D%3D&ssid=rhiav23t1c0000001653087156841"
1,AWG,Solid Men Round Neck Multicolor T-Shirt,₹449,"https://www.flipkart.com/clothing-and-accessories/topwear/tshirt/men-tshirt/pr?sid=clo,ash,ank,edy&otracker=categorytree&otracker=nmenu_sub_Men_0_T-Shirts/awg-solid-men-round-neck-multicolor-t-shirt/p/itmdb221f8e37772?pid=TSHF4PJ6VKEQZ5QZ&lid=LSTTSHF4PJ6VKEQZ5QZNGOCLL&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_1_2&otracker=browse&iid=en_3Jrd1ueBDyvUZDgPV8mV%2FAn%2BZ%2FfdeoH%2Ft5ejjIDFQo7NaApk2Z12BY8dauRswAGei6W9U45pEd61%2FpPL1ZNJTQ%3D%3D&ssid=rhiav23t1c0000001653087156841"
1,Try This,"Color Block Men Round Neck Black, White T-Shirt",₹245,"https://www.flipkart.com/clothing-and-accessories/topwear/tshirt/men-tshirt/pr?sid=clo,ash,ank,edy&otracker=categorytree&otracker=nmenu_sub_Men_0_T-Shirts/try-color-block-men-round-neck-black-white-t-shirt/p/itme7eb0664937f4?pid=TSHGYCHZYUEHX5TX&lid=LSTTSHGYCHZYUEHX5TXKCSGEN&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_1_3&otracker=browse&iid=a0114200-538d-4827-9e60-473e96230ae6.TSHGYCHZYUEHX5TX.SEARCH&ssid=rhiav23t1c0000001653087156841"
1,FastColors,"Solid Men Hooded Neck Blue, Grey T-Shirt",₹176,"https://www.flipkart.com/clothing-and-accessories/topwear/tshirt/men-tshirt/pr?sid=clo,ash,ank,edy&otracker=categorytree&otracker=nmenu_sub_Men_0_T-Shirts/fastcolors-solid-men-hooded-neck-blue-grey-t-shirt/p/itmbfb01b2a70a4b?pid=TSHFANHZ9FF8TFGF&lid=LSTTSHFANHZ9FF8TFGF9ESHXF&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_1_4&otracker=browse&iid=a0114200-538d-4827-9e60-473e96230ae6.TSHFANHZ9FF8TFGF.SEARCH&ssid=rhiav23t1c0000001653087156841"
1,Eyebogler,Self Design Men Round Neck Black T-Shirt,₹199,"https://www.flipkart.com/clothing-and-accessories/topwear/tshirt/men-tshirt/pr?sid=clo,ash,ank,edy&otracker=categorytree&otracker=nmenu_sub_Men_0_T-Shirts/eyebogler-self-design-men-round-neck-black-t-shirt/p/itm955e6725fc309?pid=TSHGA4HBCZYHSAZK&lid=LSTTSHGA4HBCZYHSAZKXAEL17&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&spotlightTagId=TrendingId_clo%2Fash%2Fank%2Fedy&srno=b_1_5&otracker=browse&iid=a0114200-538d-4827-9e60-473e96230ae6.TSHGA4HBCZYHSAZK.SEARCH&ssid=rhiav23t1c0000001653087156841"
1,Eyebogler,"Striped Men Polo Neck White, Blue, Yellow T-Shirt",₹299,"https://www.flipkart.com/clothing-and-accessories/topwear/tshirt/men-tshirt/pr?sid=clo,ash,ank,edy&otracker=categorytree&otracker=nmenu_sub_Men_0_T-Shirts/eyebogler-striped-men-polo-neck-white-blue-yellow-t-shirt/p/itm5e2f30fc1f038?pid=TSHGA4MH4JYR6YAK&lid=LSTTSHGA4MH4JYR6YAK73IUIW&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_1_6&otracker=browse&iid=a0114200-538d-4827-9e60-473e96230ae6.TSHGA4MH4JYR6YAK.SEARCH&ssid=rhiav23t1c0000001653087156841"
1,Eyebogler,Color Block Men Round Neck Grey T-Shirt,₹199,"https://www.flipkart.com/clothing-and-accessories/topwear/tshirt/men-tshirt/pr?sid=clo,ash,ank,edy&otracker=categorytree&otracker=nmenu_sub_Men_0_T-Shirts/eyebogler-color-block-men-round-neck-grey-t-shirt/p/itm8398feb09eb95?pid=TSHFZKGHYGHXZFM5&lid=LSTTSHFZKGHYGHXZFM5TLFRDD&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_1_7&otracker=browse&iid=a0114200-538d-4827-9e60-473e96230ae6.TSHFZKGHYGHXZFM5.SEARCH&ssid=rhiav23t1c0000001653087156841"
1,Try This,Color Block Men Round Neck Black T-Shirt,₹235,"https://www.flipkart.com/clothing-and-accessories/topwear/tshirt/men-tshirt/pr?sid=clo,ash,ank,edy&otracker=categorytree&otracker=nmenu_sub_Men_0_T-Shirts/try-color-block-men-round-neck-black-t-shirt/p/itm4dc4c5e1f1725?pid=TSHGAFZESDF5T8VW&lid=LSTTSHGAFZESDF5T8VWFHPIYH&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_1_8&otracker=browse&iid=en_3Jrd1ueBDyvUZDgPV8mV%2FAn%2BZ%2FfdeoH%2Ft5ejjIDFQo7%2FM0LUGCeffn%2FkrxsNtLTxKfqlX8s7af3eO5%2F2ZwKPYw%3D%3D&ssid=rhiav23t1c0000001653087156841"
1,BLIVE,"Striped Men Round Neck Maroon, Grey T-Shirt",₹189,"https://www.flipkart.com/clothing-and-accessories/topwear/tshirt/men-tshirt/pr?sid=clo,ash,ank,edy&otracker=categorytree&otracker=nmenu_sub_Men_0_T-Shirts/blive-striped-men-round-neck-maroon-grey-t-shirt/p/itme357f8c31fa07?pid=TSHFVGZKZWVFZC5H&lid=LSTTSHFVGZKZWVFZC5HJG33ML&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_1_9&otracker=browse&iid=a0114200-538d-4827-9e60-473e96230ae6.TSHFVGZKZWVFZC5H.SEARCH&ssid=rhiav23t1c0000001653087156841"
1,Reya,Solid Men Mandarin Collar Black T-Shirt,₹211,"https://www.flipkart.com/clothing-and-accessories/topwear/tshirt/men-tshirt/pr?sid=clo,ash,ank,edy&otracker=categorytree&otracker=nmenu_sub_Men_0_T-Shirts/reya-solid-men-mandarin-collar-black-t-shirt/p/itm5d7451a43f539?pid=TSHFKYKBM8SNH7KY&lid=LSTTSHFKYKBM8SNH7KY0MAXLY&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_1_10&otracker=browse&iid=a0114200-538d-4827-9e60-473e96230ae6.TSHFKYKBM8SNH7KY.SEARCH&ssid=rhiav23t1c0000001653087156841"
