Product Name,Price,Brand,Links
Solid Men Collared Neck Green T-Shirt,₹589,U.S. POLO ASSN.,"https://www.flipkart.com/clothing-and-accessories/topwear/tshirt/men-tshirt/pr?sid=clo,ash,ank,edy&otracker=categorytree&otracker=nmenu_sub_Men_0_T-Shirts/u-s-polo-assn-solid-men-collared-neck-green-t-shirt/p/itm6476643f3a088?pid=TSHG5KYYHC9R7QCA&lid=LSTTSHG5KYYHC9R7QCAKQZMIE&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_1_1&otracker=browse&iid=en_n97%2BlLGHe9r%2FBHmYp1%2FKfnUbHk%2FuYTcB8QdOk3qgM4CUatiXVrDQIIZY%2BwCTww43F1U%2FzVtMer5IoAJFjXB9tw%3D%3D&ssid=jvg08s4qxc0000001653037797570"
Solid Men Mandarin Collar Dark Blue T-Shirt,₹339,Urbano Fashion,"https://www.flipkart.com/clothing-and-accessories/topwear/tshirt/men-tshirt/pr?sid=clo,ash,ank,edy&otracker=categorytree&otracker=nmenu_sub_Men_0_T-Shirts/urbano-fashion-solid-men-mandarin-collar-dark-blue-t-shirt/p/itmda631b7f92fd2?pid=TSHFTHCQK48TZVTH&lid=LSTTSHFTHCQK48TZVTHNWCWTX&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_1_2&otracker=browse&iid=en_n97%2BlLGHe9r%2FBHmYp1%2FKfnUbHk%2FuYTcB8QdOk3qgM4B0%2Fa9rQK9J%2B3E8%2BdbcTtHWzPIFAnWN2jtyIqfTaoXpXg%3D%3D&ssid=jvg08s4qxc0000001653037797570"
"Striped Men Hooded Neck Red, Black T-Shirt",₹157,HELMONT,"https://www.flipkart.com/clothing-and-accessories/topwear/tshirt/men-tshirt/pr?sid=clo,ash,ank,edy&otracker=categorytree&otracker=nmenu_sub_Men_0_T-Shirts/helmont-striped-men-hooded-neck-red-black-t-shirt/p/itmfdfvufw3fmuhz?pid=TSHFDFTFFR2QUDWV&lid=LSTTSHFDFTFFR2QUDWVQIYWB1&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_1_3&otracker=browse&iid=352f977c-0083-4b0c-83d7-0689090f9f6e.TSHFDFTFFR2QUDWV.SEARCH&ssid=jvg08s4qxc0000001653037797570"
Striped Men Round Neck Red T-Shirt,₹299,Eyebogler,"https://www.flipkart.com/clothing-and-accessories/topwear/tshirt/men-tshirt/pr?sid=clo,ash,ank,edy&otracker=categorytree&otracker=nmenu_sub_Men_0_T-Shirts/eyebogler-striped-men-round-neck-red-t-shirt/p/itm3cc4810fba24b?pid=TSHGYMY7QEVGSVEK&lid=LSTTSHGYMY7QEVGSVEKP9UPCC&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_1_4&otracker=browse&iid=352f977c-0083-4b0c-83d7-0689090f9f6e.TSHGYMY7QEVGSVEK.SEARCH&ssid=jvg08s4qxc0000001653037797570"
"Solid Men Mandarin Collar Brown, Black T-Shirt",₹242,TRIPR,"https://www.flipkart.com/clothing-and-accessories/topwear/tshirt/men-tshirt/pr?sid=clo,ash,ank,edy&otracker=categorytree&otracker=nmenu_sub_Men_0_T-Shirts/tripr-solid-men-mandarin-collar-brown-black-t-shirt/p/itm2843b1a858cba?pid=TSHG9JJHZFQMZRZG&lid=LSTTSHG9JJHZFQMZRZGIUKROW&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_1_5&otracker=browse&iid=352f977c-0083-4b0c-83d7-0689090f9f6e.TSHG9JJHZFQMZRZG.SEARCH&ssid=jvg08s4qxc0000001653037797570"
"Solid Men Round Neck Black, White T-Shirt",₹246,FastColors,"https://www.flipkart.com/clothing-and-accessories/topwear/tshirt/men-tshirt/pr?sid=clo,ash,ank,edy&otracker=categorytree&otracker=nmenu_sub_Men_0_T-Shirts/fastcolors-solid-men-round-neck-black-white-t-shirt/p/itm03fa98be42e4a?pid=TSHFTBS25ZGQKZYE&lid=LSTTSHFTBS25ZGQKZYEZ8VTBY&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_1_6&otracker=browse&iid=352f977c-0083-4b0c-83d7-0689090f9f6e.TSHFTBS25ZGQKZYE.SEARCH&ssid=jvg08s4qxc0000001653037797570"
"Striped Men Polo Neck White, Blue, Yellow T-Shirt",₹299,Eyebogler,"https://www.flipkart.com/clothing-and-accessories/topwear/tshirt/men-tshirt/pr?sid=clo,ash,ank,edy&otracker=categorytree&otracker=nmenu_sub_Men_0_T-Shirts/eyebogler-striped-men-polo-neck-white-blue-yellow-t-shirt/p/itm5e2f30fc1f038?pid=TSHGA4MH4JYR6YAK&lid=LSTTSHGA4MH4JYR6YAK73IUIW&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_1_7&otracker=browse&iid=352f977c-0083-4b0c-83d7-0689090f9f6e.TSHGA4MH4JYR6YAK.SEARCH&ssid=jvg08s4qxc0000001653037797570"
"Printed Men Round Neck Grey, Black T-Shirt",₹729,JOCKEY,"https://www.flipkart.com/clothing-and-accessories/topwear/tshirt/men-tshirt/pr?sid=clo,ash,ank,edy&otracker=categorytree&otracker=nmenu_sub_Men_0_T-Shirts/jockey-printed-men-round-neck-grey-black-t-shirt/p/itm9ac68f5791256?pid=TSHFMQ4Z4KHPSHJV&lid=LSTTSHFMQ4Z4KHPSHJVWFICBN&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_1_8&otracker=browse&iid=en_n97%2BlLGHe9r%2FBHmYp1%2FKfnUbHk%2FuYTcB8QdOk3qgM4BCtrQahwSyHf9BqGPwIGwwPRoaay%2FagburBsupj%2FZDzA%3D%3D&ssid=jvg08s4qxc0000001653037797570"
"Color Block Men Round Neck Black, White T-Shirt",₹281,Try This,"https://www.flipkart.com/clothing-and-accessories/topwear/tshirt/men-tshirt/pr?sid=clo,ash,ank,edy&otracker=categorytree&otracker=nmenu_sub_Men_0_T-Shirts/try-color-block-men-round-neck-black-white-t-shirt/p/itme7eb0664937f4?pid=TSHGYCHZXNRVYH4T&lid=LSTTSHGYCHZXNRVYH4TRYMMDW&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_1_9&otracker=browse&iid=352f977c-0083-4b0c-83d7-0689090f9f6e.TSHGYCHZXNRVYH4T.SEARCH&ssid=jvg08s4qxc0000001653037797570"
"Solid Men Polo Neck Dark Blue, White T-Shirt",₹249,Eyebogler,"https://www.flipkart.com/clothing-and-accessories/topwear/tshirt/men-tshirt/pr?sid=clo,ash,ank,edy&otracker=categorytree&otracker=nmenu_sub_Men_0_T-Shirts/eyebogler-solid-men-polo-neck-dark-blue-white-t-shirt/p/itmdfc3c653bdacd?pid=TSHG952Y9UMSGHZF&lid=LSTTSHG952Y9UMSGHZFJIA8UT&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_1_10&otracker=browse&iid=352f977c-0083-4b0c-83d7-0689090f9f6e.TSHG952Y9UMSGHZF.SEARCH&ssid=jvg08s4qxc0000001653037797570"
